Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sepulveda-Falla, Diego; Glatzel, Markus; Lopera, Francisco; ",Phenotypic profile of early-onset familial Alzheimer's disease caused by presenilin-1 E280A mutation,Journal of Alzheimer's Disease,32,1,1-12,2012,IOS Press
"Lopera, Francisco; ",Anamnesis en el estudio del paciente con demencia,Rev neurol,32,12,1187-91,2001,
"Muñoz, Angélica María; Agudelo, Gloria María; Lopera, Francisco Javier; ","D iagnóstico del estado nutricional de los pacientes con demencia tipo Alzheimer registrados en el Grupo de Neurocienciais, Medellín, 2004",Biomédica,26,1,113-25,2006,Instituto Nacional de Salud
"Hincapié, Liliana; Giraldo, Mario; Castro, Rodrigo; Lopera, Francisco; Pineda, David; Lopera, Egidio; ",Propiedades linguisticas de los trastornos especificos del desarrollo del lenguaje,Revista latinoamericana de psicología,39,1,47,2007,FUNDACION PARA EL AVANCE DE LA PSICOLOGIA
"Lasprilla, Juan Carlos Arango; Iglesias, Jaime; Lopera, Francisco; ",Neuropsychological stydy of familial Alzheimer's disease caused by mutation E280A in the presenilin 1 gene,American journal of Alzheimer's disease and other dementias,18,3,137-146,2003,SAGE Publications
"Arboleda-Ramírez, A; Lopera-Vásquez, JP; Hincapié-Henao, L; Giraldo-Prieto, M; Pineda, David A; Lopera, Francisco; Lopera-Echeverri, E; ",Trastorno específico del desarrollo del lenguaje: problema selectivo o generalizado de la cognición,Revista de Neurología,44,10,596-600,2007,
"Arcos-Burgos, Mauricio; Londoño, Ana C; Pineda, David A; Lopera, Francisco; Palacio, Juan David; Arbelaez, Andres; Acosta, Maria T; Vélez, Jorge I; Castellanos, Francisco Xavier; Muenke, Maximilian; ",Analysis of brain metabolism by proton magnetic resonance spectroscopy (1H-MRS) in attention-deficit/hyperactivity disorder suggests a generalized differential ontogenic pattern from controls,ADHD Attention Deficit and Hyperactivity Disorders,4,4,205-212,2012,Springer
"Pineda‐Trujillo, Nicolas; Apergi, Maria; Moreno, Sonia; Arias, William; Lesage, Suzanne; Franco, Alejandro; Sepulveda‐Falla, Diego; Cano, David; Buriticá, Omar; Pineda, David; ",A genetic cluster of early onset Parkinson's disease in a Colombian population,American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,141,8,885-889,2006,Wiley Online Library
"MacPherson, Sarah E; Parra, Mario A; Moreno, Sonia; Lopera, Francisco; Della Sala, Sergio; ",Dual task abilities as a possible preclinical marker of Alzheimer's disease in carriers of the E280A presenilin-1 mutation,Journal of the International Neuropsychological Society,18,02,234-241,2012,Cambridge Univ Press
"Lopera, Francisco; ",La enfermedad de Alzheimer Familiar,"Revista Neuropsicología, Neuropsiquiatría y Neurociencias",12,1,163-188,2012,
"Lopera, Francisco; ",Evolución y cognición,"Revista Neuropsicología, Neuropsiquiatría y Neurociencias",6,1,27-34,2004,
"Londono, Ana C; Castellanos, Francisco X; Arbelaez, Andres; Ruiz, Adriana; Aguirre-Acevedo, Daniel C; Richardson, Alice M; Easteal, Simon; Lidbury, Brett A; Arcos-Burgos, Mauricio; Lopera, Francisco; ",An 1 H-MRS framework predicts the onset of Alzheimer's disease symptoms in PSEN1 mutation carriers,Alzheimer's & Dementia,10,5,552-561,2014,Elsevier
"Giraldo, Margarita; Lopera, Francisco Javier; ",Rehabilitación cognitiva en un caso de alteraciones neuropsicológicas y funcionales por traumatismo craneoencefálico severo,Revista Chilena de Neuropsicología,4,1,52-63,2009,
"Vélez, Jorge I; Chandrasekharappa, Settara C; Henao, E; Martinez, Ariel F; Harper, U; Jones, Marypat; Solomon, Benjamin D; Lopez, L; Garcia, Gloria; Aguirre-Acevedo, DC; ",Pooling/bootstrap-based GWAS (pbGWAS) identifies new loci modifying the age of onset in PSEN1 p. Glu280Ala Alzheimer's disease,Molecular psychiatry,18,5,568-575,2013,Nature Publishing Group
"Lopera, F; Palacio, LG; Jimenez, I; Villegas, P; Puerta, IC; Pineda, D; Jiménez, M; Arcos-Burgos, M; ",[Discrimination between genetic factors in attention deficit],Revista de neurologia,28,7,660-664,1998,
"Pineda, DA; Kamphaus, RW; Mora, O; Restrepo, MA; Puerta, IC; Palacio, LG; Jiménez, I; Mejía, S; García, M; Arango, JC; ",[A system of multidimensional behavior assessment. A scale for parents of children from 6 to 11 years of age. Colombian version],Revista de neurologia,28,7,672-681,1998,
"Lopera, F; Tobón, N; Arcos-Burgos, M; Vargas, S; Gutierrez, JE; Rosselli, M; Ardila, A; ",[Image characterization of Alzheimer's disease associated with the E280A-PS1 mutation. Case-control study: MRI findings],Revista de neurologia,29,1,6-12,1998,
"Lalli, Matthew A; Cox, Hannah C; Arcila, Mary L; Cadavid, Liliana; Moreno, Sonia; Garcia, Gloria; Madrigal, Lucia; Reiman, Eric M; Arcos-Burgos, Mauricio; Bedoya, Gabriel; ",Origin of the PSEN1 E280A mutation causing early-onset Alzheimer's disease,Alzheimer's & Dementia,10,5,S277-S283. e10,2014,Elsevier
"Tirado, V; Muñoz, C; Aguirre, C; Pineda, DA; Lopera, Francisco; ",Desempeño de portadores y no portadores de la mutación E280A para la enfermedad de Alzheimer familiar en una prueba de denominación,Revista de neurología,39,4,322-326,2004,Viguera
"Trujillo-Orrego, N; Pineda, DA; Arango, CP; Puerta, IC; Lopera, F; Aguirre-Acevedo, DC; Hincapié-Henao, L; Pineda-Álvarez, DE; Arcos-Burgos, M; Muenke, M; ",Dimensiones del fenotipo conductual del trastorno por déficit de atención/hiperactividad en adultos de familias antioqueñas utilizando la escala Wender-Utah en español,Revista de neurología,48,8,400-406,2009,Viguera
"Reiman, Eric M; Langbaum, Jessica B; Tariot, Pierre N; Lopera, Francisco; Bateman, Randall J; Morris, John C; Sperling, Reisa A; Aisen, Paul S; Roses, Allen D; Welsh-Bohmer, Kathleen A; ",CAP [mdash] advancing the evaluation of preclinical Alzheimer disease treatments,Nature Reviews Neurology,,,,2015,Nature Publishing Group
"García, Antonio; Lopera, Francisco; Madrigal, Lucía; Ossa, Jorge; ","Hacia el enunciado de dilemas éticos sobre la enfermedad de Alzheimer precoz, en Antioquia, Colombia",Iatreia,16,2,174-182,2003,
"Quiroz, Yakeel T; Schultz, Aaron P; Chen, Kewei; Protas, Hillary D; Brickhouse, Michael; Fleisher, Adam S; Langbaum, Jessica B; Thiyyagura, Pradeep; Fagan, Anne M; Shah, Aarti R; ",Brain imaging and blood biomarker abnormalities in children with autosomal dominant Alzheimer disease: a cross-sectional study,JAMA neurology,72,8,912-919,2015,American Medical Association
"Velez-Pardo, C; Lopera, F; Jimenez Del Rio, M; ",DNA Damage does not Correlate with Amyloid-ß-Plaques and Neurofibrillary Tangles in Familial Alzheimer's Disease Presenilin-1 [E280A] Mutation,Journal of Alzheimer's Disease,2,1,47-57,2000,IOS Press
"Tirado, V; Motta, M; Aguirre-Acevedo, DC; Pineda, DA; Lopera, F; ",Análisis de las intrusiones en una prueba de memoria como posible marcador preclínico de enfermedad de Alzheimer en portadores de la mutación E280A de la presenilina-1,Revista de neurología,47,6,290-294,2008,Viguera
"Pineda, David A; Lopera, Francisco; Puerta, Isabel C; Trujillo-Orrego, Natalia; Aguirre-Acevedo, Daniel C; Hincapié-Henao, Liliana; Arango, Clara P; Acosta, Maria T; Holzinger, Sandra I; Palacio, Juan David; ",Potential cognitive endophenotypes in multigenerational families: segregating ADHD from a genetic isolate,ADHD Attention Deficit and Hyperactivity Disorders,3,3,291-299,2011,Springer
"Velásquez, M; Arcos-Burgos, M; Toro, ME; Castaño, A; Madrigal, L; Moreno, S; Jaramillo, N; Lopera, F; ","Análisis factorial y discriminante de variables neuropsicológicas en la demencia tipo Alzheimer de inicio tardío, familiar y esporádica",Revista de Neurología,31,6,501-506,2000,
"Parra, Mario A; Saarimäki, Heini; Bastin, Mark E; Londoño, Ana C; Pettit, Lewis; Lopera, Francisco; Della Sala, Sergio; Abrahams, Sharon; ",Memory binding and white matter integrity in familial Alzheimer’s disease,Brain,,,awv048,2015,Oxford Univ Press
"Rodriguez, Rene; Lopera, Francisco; Alvarez, Alfredo; Fernandez, Yuriem; Galan, Lidice; Quiroz, Yakeel; Bobes, Maria Antonieta; ",Spectral analysis of EEG in familial Alzheimer’s disease with E280A presenilin-1 mutation gene,International Journal of Alzheimer’s Disease,2014,,,2014,Hindawi Publishing Corporation
"Henao-Arboleda, E; Aguirre-Acevedo, DC; Munoz, C; Pineda, DA; Lopera, F; ","[Prevalence of mild cognitive impairment, amnestic-type, in a Colombian population]",Revista de neurologia,46,12,709-713,2007,
"Wallis, Deeann; Arcos-Burgos, Mauricio; Jain, Mahim; Castellanos, F Xavier; Palacio, Juan David; Pineda, David; Lopera, Francisco; Stanescu, Horia; Pineda, Daniel; Berg, Kate; ",Polymorphisms in the neural nicotinic acetylcholine receptor α4 subunit (CHRNA4) are associated with ADHD in a genetic isolate,ADHD Attention Deficit and Hyperactivity Disorders,1,1,19-24,2009,Springer
"Lopera, F; Palacio, LG; Jimenez, I; Villegas, P; Puerta, IC; Pineda, D; Jimenez, M; Arcos-Burgos, M; ",Genetic and environmental factors discrimination in attention deficit hyperactivity disorder,REVISTA DE NEUROLOGIA,28,7,660-664,1999,"C/O CESAR VIGUERA, EDITOR, APDO 94121, 08080 BARCELONA, SPAIN"
"Molina, Alejandro; Mondragon, Fanor; ",Reactivity of coal gasification with steam and CO 2,Fuel,77,15,1831-1839,1998,Elsevier
"Gallego, Germán Sierra; Mondragón, Fanor; Barrault, Joel; Tatibouët, Jean-Michel; Batiot-Dupeyrat, Catherine; ",CO 2 reforming of CH 4 over La–Ni based perovskite precursors,Applied Catalysis A: General,311,,164-171,2006,Elsevier
"Mondragon, Fanor; Rincon, Fabio; Sierra, Ligia; Escobar, Jaime; Ramirez, Jose; Fernandez, John; ",New perspectives for coal ash utilization: synthesis of zeolitic materials,Fuel,69,2,263-266,1990,Elsevier
"Daza, Carlos Enrique; Gallego, Jaime; Mondragón, Fanor; Moreno, Sonia; Molina, Rafael; ",High stability of Ce-promoted Ni/Mg–Al catalysts derived from hydrotalcites in dry reforming of methane,Fuel,89,3,592-603,2010,Elsevier
"Gallego, German Sierra; Batiot-Dupeyrat, Catherine; Barrault, Joel; Florez, Elizabeth; Mondragon, Fanor; ","Dry reforming of methane over LaNi 1− y B y O 3±δ (B= Mg, Co) perovskites used as catalyst precursor",Applied Catalysis A: General,334,1,251-258,2008,Elsevier
"Montoya, Alejandro; Mondragon, Fanor; Truong, Thanh N; ",CO 2 adsorption on carbonaceous surfaces: a combined experimental and theoretical study,Carbon,41,1,29-39,2003,Elsevier
"Daza, Carlos Enrique; Gallego, Jaime; Moreno, Jorge Andrés; Mondragón, Fanor; Moreno, Sonia; Molina, Rafael; ",CO 2 reforming of methane over Ni/Mg/Al/Ce mixed oxides,Catalysis Today,133,,357-366,2008,Elsevier
"Gallego, Germán Sierra; Marín, Jaime Gallego; Batiot-Dupeyrat, Catherine; Barrault, Joël; Mondragón, Fanor; ",Influence of Pr and Ce in dry methane reforming catalysts produced from La 1− x A x NiO 3− δ perovskites,Applied Catalysis A: General,369,1,97-103,2009,Elsevier
"Montoya, Alejandro; Mondragon, Fanor; Truong, Thanh N; ",First-principles kinetics of CO desorption from oxygen species on carbonaceous surface,The Journal of Physical Chemistry A,106,16,4236-4239,2002,ACS Publications
"Gallego, Germán Sierra; Mondragón, Fanor; Tatibouët, Jean-Michel; Barrault, Joël; Batiot-Dupeyrat, Catherine; ",Carbon dioxide reforming of methane over La 2 NiO 4 as catalyst precursor—characterization of carbon deposition,Catalysis Today,133,,200-209,2008,Elsevier
"Montoya, Alejandro; Truong, Thanh-Thai T; Mondragon, Fanor; Truong, Thanh N; ",CO desorption from oxygen species on carbonaceous surface: 1. Effects of the local structure of the active site and the surface coverage,The Journal of Physical Chemistry A,105,27,6757-6764,2001,ACS Publications
"Hincapié, Gina; Mondragón, Fanor; López, Diana; ",Conventional and in situ transesterification of castor seed oil for biodiesel production,Fuel,90,4,1618-1623,2011,Elsevier
"García, Verónica; Fernández, Jhon J; Ruíz, Wilson; Mondragón, Fanor; Moreno, Andrés; ",Effect of MgO addition on the basicity of Ni/ZrO 2 and on its catalytic activity in carbon dioxide reforming of methane,Catalysis Communications,11,4,240-246,2009,Elsevier
"Lopez, D; Sanada, Y; Mondragon, F; ",Effect of low-temperature oxidation of coal on hydrogen-transfer capability,Fuel,77,14,1623-1628,1998,Elsevier
"Garcia, Pilar; Hall, Peter J; Mondragon, Fanor; ",The use of differential scanning calorimetry to identify coals susceptible to spontaneous combustion,Thermochimica acta,336,1,41-46,1999,Elsevier
"Espinal, Juan F; Montoya, Alejandro; Mondragon, Fanor; Truong, Thanh N; ",A DFT study of interaction of carbon monoxide with carbonaceous materials,The Journal of Physical Chemistry B,108,3,1003-1008,2004,ACS Publications
"Santamaría, Alexander; Mondragón, Fanor; Molina, Alejandro; Marsh, Nathan D; Eddings, Eric G; Sarofim, Adel F; ",FT-IR and 1 H NMR characterization of the products of an ethylene inverse diffusion flame,Combustion and flame,146,1,52-62,2006,Elsevier
"Sierra Gallego, Germán; Batiot-Dupeyrat, Catherine; Barrault, Joël; Mondragón, Fanor; ",Dual active-site mechanism for dry methane reforming over Ni/La2O3 produced from LaNiO3 perovskite,Industrial & Engineering Chemistry Research,47,23,9272-9278,2008,ACS Publications
"Florez, Elizabeth; Tiznado, William; Mondragón, Fanor; Fuentealba, Patricio; ",Theoretical study of the interaction of molecular oxygen with copper clusters,The Journal of Physical Chemistry A,109,34,7815-7821,2005,ACS Publications
"Mondragon, Fanor; Fernandez, John; Jaramillo, Alfredo; Quintero, Gustavo; ",Process for making activated charcoal,,,,,1997,Google Patents
"Sánchez, Julián A; Hernández, Diana L; Moreno, Jorge A; Mondragón, Fanor; Fernández, Jhon J; ",Alternative carbon based acid catalyst for selective esterification of glycerol to acetylglycerols,Applied Catalysis A: General,405,1,55-60,2011,Elsevier
"Batiot-Dupeyrat, Catherine; Gallego, German Alberto Sierra; Mondragon, Fanor; Barrault, Joël; Tatibouët, Jean-Michel; ",CO 2 reforming of methane over LaNiO 3 as precursor material,Catalysis today,107,,474-480,2005,Elsevier
"Salamanca, Maurin; Mondragón, Fanor; Agudelo, Jhon Ramiro; Benjumea, Pedro; Santamaría, Alexander; ",Variations in the chemical composition and morphology of soot induced by the unsaturation degree of biodiesel and a biodiesel blend,Combustion and Flame,159,3,1100-1108,2012,Elsevier
"Santamaria, Alexander; Yang, Nancy; Eddings, Eric; Mondragon, Fanor; ",Chemical and morphological characterization of soot and soot precursors generated in an inverse diffusion flame with aromatic and aliphatic fuels,Combustion and flame,157,1,33-42,2010,Elsevier
"Mejía, Sol M; Espinal, Juan F; Restrepo, Albeiro; Mondragón, Fanor; ",Molecular interaction of (ethanol) 2-water heterotrimers,The Journal of Physical Chemistry A,111,33,8250-8256,2007,ACS Publications
"Garcı́a, Pilar; Espinal, Juan F; de Lecea, Concepción Salinas Martı́nez; Mondragón, Fanor; ",Experimental characterization and molecular simulation of nitrogen complexes formed upon NO–char reaction at 270 C in the presence of H 2 O and O 2,Carbon,42,8,1507-1515,2004,Elsevier
"Montoya, Alejandro; Mondragón, Fanor; Truong, Thanh N; ","Formation of CO precursors during char gasification with O 2, CO 2 and H 2 O",Fuel processing technology,77,,125-130,2002,Elsevier
"Gallego, Germán Sierra; Barrault, Joël; Batiot-Dupeyrat, Catherine; Mondragón, Fanor; ",Production of hydrogen and MWCNTs by methane decomposition over catalysts originated from LaNiO 3 perovskite,Catalysis Today,149,3,365-371,2010,Elsevier
"Wang, Yan; Florez, Elizabeth; Mondragon, Fanor; Truong, Thanh N; ",Effects of metal–support interactions on the electronic structures of metal atoms adsorbed on the perfect and defective MgO (100) surfaces,Surface science,600,9,1703-1713,2006,Elsevier
"López, Diana; Buitrago, Robison; Sepúlveda-Escribano, Antonio; Rodríguez-Reinoso, Francisco; Mondragón, Fanor; ",Low-temperature catalytic adsorption of NO on activated carbon materials,Langmuir,23,24,12131-12137,2007,ACS Publications
"Garcı́a, Pilar; Coloma, Fernando; de Lecea, Concepción Salinas Martınez; Mondragón, Fanor; ",Nitrogen complexes formation during NO–C reaction at low temperature in presence of O 2 and H 2 O,Fuel Processing Technology,77,,255-259,2002,Elsevier
"Espinal, Juan F; Mondragon, Fanor; Truong, Thanh N; ",Mechanisms for methane and ethane formation in the reaction of hydrogen with carbonaceous materials,Carbon,43,9,1820-1827,2005,Elsevier
"Sánchez, Astrid; Mondragón, Fanor; ",Role of the epoxy group in the heterogeneous CO2 evolution in carbon oxidation reactions,The Journal of Physical Chemistry C,111,2,612-617,2007,ACS Publications
"Mejía, Sol M; Espinal, Juan F; Mondragón, Fanor; ","Cooperative effects on the structure and stability of (ethanol) 3–water,(methanol) 3–water heterotetramers and (ethanol) 4,(methanol) 4 tetramers",Journal of Molecular Structure: THEOCHEM,901,1,186-193,2009,Elsevier
"Florez, Elizabeth; Fuentealba, Patricio; Mondragón, Fanor; ","Chemical reactivity of oxygen vacancies on the MgO surface: Reactions with CO 2, NO 2 and metals",Catalysis Today,133,,216-222,2008,Elsevier
"Mondragon, Fanor; Ouchi, Koji; ",New method for obtaining the distillation curves of petroleum products and coal-derived liquids using a small amount of sample,Fuel,63,1,61-65,1984,Elsevier
"Gallego, Jaime; Sierra, German; Mondragon, Fanor; Barrault, Joël; Batiot-Dupeyrat, Catherine; ",Synthesis of MWCNTs and hydrogen from ethanol catalytic decomposition over a Ni/La 2 O 3 catalyst produced by the reduction of LaNiO 3,Applied Catalysis A: General,397,1,73-81,2011,Elsevier
"Salamanca, Maurin; Mondragón, Fanor; Agudelo, John R; Santamaría, Alexander; ",Influence of palm oil biodiesel on the chemical and morphological characteristics of particulate matter emitted by a diesel engine,Atmospheric environment,62,,220-227,2012,Elsevier
"Mondragon, Fanor; Itoh, Hironori; Ouchi, Koki; ",Solubility increase of coal by alkylation with various alcohols,Fuel,61,11,1131-1134,1982,Elsevier
"Montoya, Alejandro; Mondragón, Fanor; Truong, Thanh N; ",Adsorption on carbonaceous surfaces: cost-effective computational strategies for quantum chemistry studies of aromatic systems,Carbon,40,11,1863-1872,2002,Elsevier
"Espinal, Juan F; Mondragón, Fanor; Truong, Thanh N; ",Thermodynamic evaluation of steam gasification mechanisms of carbonaceous materials,Carbon,47,13,3010-3018,2009,Elsevier
"Lopez, Diana; Buitrago, Robison; Sepulveda-Escribano, Antonio; Rodriguez-Reinoso, Francisco; Mondragon, Fanor; ",Low temperature catalytic adsorption of SO2 on activated carbon,The Journal of Physical Chemistry C,112,39,15335-15340,2008,ACS Publications
"Florez, Elizabeth; Mondragón, Fanor; Fuentealba, Patricio; ","Effect of Ni and Pd on the geometry, electronic properties, and active sites of copper clusters",The Journal of Physical Chemistry B,110,28,13793-13798,2006,ACS Publications
"Orrego, Juan F; Zapata, Felipe; Truong, Thanh N; Mondragón, Fanor; ",Heterogeneous CO2 evolution from oxidation of aromatic carbon-based materials,The Journal of Physical Chemistry A,113,29,8415-8420,2009,ACS Publications
"López, Diana; Buitrago, Robison; Sepúlveda-Escribano, Antonio; Rodríguez-Reinoso, Francisco; Mondragón, Fanor; ",Surface complexes formed during simultaneous catalytic adsorption of NO and SO2 on activated carbons at low temperatures,The Journal of Physical Chemistry C,111,3,1417-1423,2007,ACS Publications
"Santamaría, Alexander; Mondragon, Fanor; Quinonez, Wiston; Eddings, Eric G; Sarofim, Adel F; ",Average structural analysis of the extractable material of young soot gathered in an ethylene inverse diffusion flame,Fuel,86,12,1908-1917,2007,Elsevier
"Espinal, Juan F; Truong, Thanh N; Mondragón, Fanor; ",Mechanisms of NH 3 formation during the reaction of H 2 with nitrogen containing carbonaceous materials,Carbon,45,11,2273-2279,2007,Elsevier
"Acelas, Nancy Y; Mejia, Sol M; Mondragón, Fanor; Flórez, Elizabeth; ","Density functional theory characterization of phosphate and sulfate adsorption on Fe-(hydr) oxide: Reactivity, pH effect, estimation of Gibbs free energies, and topological analysis of hydrogen bonds",Computational and Theoretical Chemistry,1005,,16-24,2013,Elsevier
"Mondragon, Fanor; Makabe, Masataka; Itoh, Hironori; Ouchi, Koji; ",Coal liquefaction by the hydrogen produced from methanol,Fuel,61,4,392-393,1982,Elsevier
"Montoya, Alejandro; Mondragón, Fanor; Truong, Thanh N; ",Kinetics of nitric oxide desorption from carbonaceous surfaces,Fuel processing technology,77,,453-458,2002,Elsevier
"Mondragon, Fanor; Kamoshita, Ryuji; Katoh, Takashi; Itoh, Hironori; Ouchi, Koji; ",Coal liquefaction by the hydrogen produced from methanol: 2. Model compound studies,Fuel,63,5,579-585,1984,Elsevier
"López, Diana; Acelas, Nancy; Mondragón, Fanor; ",Average structural analysis of tar obtained from pyrolysis of wood,Bioresource technology,101,7,2458-2465,2010,Elsevier
"Molina, Alejandro; Montoya, Alejandro; Mondragón, Fanor; ",CO 2 strong chemisorption as an estimate of coal char gasification reactivity,Fuel,78,8,971-977,1999,Elsevier
"Hernández, Diana; Fernández, Jhon J; Mondragón, Fanor; López, Diana; ",Production and utilization performance of a glycerol derived additive for diesel engines,Fuel,92,1,130-136,2012,Elsevier
"Hall, Peter J; Galan, David Gascon; Machado, Wilson Ruiz; Mondragon, Fanor; Barria, Elizabeth Barrientos; Sherrington, David C; Calo, Joseph M; ",Use of contrast-enhanced small-angle neutron scattering to monitor the effects of solvent swelling on the pore structure of styrene–divinylbenzene resins,"Journal of the Chemical Society, Faraday Transactions",93,3,463-466,1997,Royal Society of Chemistry
"Mejía, Sol M; Mills, Matthew JL; Shaik, Majeed S; Mondragon, Fanor; Popelier, Paul LA; ",The dynamic behavior of a liquid ethanol–water mixture: a perspective from quantum chemical topology,Physical Chemistry Chemical Physics,13,17,7821-7833,2011,Royal Society of Chemistry
"Florez, Elizabeth; Mondragón, Fanor; Truong, Thanh N; Fuentealba, Patricio; ",Transition-metal atom adsorption on an F s defect site of MgO (100) and the interaction with a hydrogen atom,Physical Review B,73,11,115423,2006,APS
"Montoya, A; Gil, JO; Mondragon, F; Truong, TN; ",Oxygen adsorption on nitrogen containing carbon surfaces.,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,224,,U557-U557,2002,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"Sánchez, Astrid; Eddings, Eric; Mondragón, Fanor; ","Fourier Transform Infrared (FTIR) online monitoring of NO, N2O, and CO2 during oxygen-enriched combustion of carbonaceous materials",Energy & Fuels,24,9,4849-4853,2010,ACS Publications
"Mejía, Sol M; Flórez, Elizabeth; Mondragón, Fanor; ","An orbital and electron density analysis of weak interactions in ethanol-water, methanol-water, ethanol and methanol small clusters",The Journal of chemical physics,136,14,144306,2012,AIP Publishing
"Mondragon, F; Jaramillo, A; Saldarriaga, F; Quintero, G; Fernandez, J; Ruiz, W; Hall, PJ; ",The effects of morphological changes and mineral matter on H 2 S evolution during coal pyrolysis,Fuel,78,15,1841-1846,1999,Elsevier
"Ozaki, Yoshihide; Mondragon, Fanor; Makabe, Masataka; Itoh, Hironori; Ouchi, Koji; ",Coal liquefaction by hydrogen produced from methanol: 3. Examination of reaction conditions,Fuel,64,6,767-771,1985,Elsevier
"Daza, Carlos Enrique; Gamba, Oscar A; Hernández, Yesid; Centeno, Miguel A; Mondragón, Fanor; Moreno, Sonia; Molina, Rafael; ",High-stable mesoporous Ni-Ce/Clay catalysts for syngas production,Catalysis Letters,141,7,1037-1046,2011,Springer
"García, Pilar; Molina, Alejandro; Mondragón, Fanor; ",Desorption activation energy distribution function of nitric oxide chemisorbed on carbonaceous materials at 373 K,Carbon,43,7,1445-1452,2005,Elsevier
"Velásquez, Mauricio; Mondragón, Fanor; Santamaría, Alexander; ",Chemical characterization of soot precursors and soot particles produced in hexane and diesel surrogates using an inverse diffusion flame burner,Fuel,104,,681-690,2013,Elsevier
"Florez, Elizabeth; Mondragón, Fanor; Truong, Thanh N; Fuentealba, Patricio; ",Density functional theory characterization of the formation of copper clusters on F s and centers on a MgO surface,Surface science,601,3,656-664,2007,Elsevier
"Mondragon, Fanor; Ouchi, Koji; ",Coal liquefaction by in-situ hydrogen generation.: 2. Zinc-water model compound reactions,Fuel,63,7,973-977,1984,Elsevier
"Mondragón, Fanor; Ruı́z, Wilson; Santamarı́a, Alexander; ",Effect of early stages of coal oxidation on its reaction with elemental sulphur,Fuel,81,3,381-388,2002,Elsevier
"Jiménez, Francisco; Mondragón, Fanor; López, Diana; ",Structural changes in coal chars after pressurized pyrolysis,Journal of Analytical and Applied Pyrolysis,95,,164-170,2012,Elsevier
"Gallego, Jaime; Batiot-Dupeyrat, Catherine; Barrault, Joël; Mondragón, Fanor; ",Severe deactivation of a LaNiO3 perovskite-type catalyst precursor with H2S during methane dry reforming,Energy & Fuels,23,10,4883-4886,2009,ACS Publications
"Mondragon, F; Quintero, G; Jaramillo, A; Fernandez, J; Calo, JM; Ruiz, W; Hall, PJ; ",The production of high surface carbons from coal using pre-swelling in solvents to disperse coking catalysts,Journal of materials science,32,6,1455-1459,1997,Springer
"Santamaría, Alexander; Eddings, Eric G; Mondragón, Fanor; ",Effect of ethanol on the chemical structure of the soot extractable material of an ethylene inverse diffusion flame,Combustion and Flame,151,1,235-244,2007,Elsevier
"Orrego, Juan F; Truong, Thanh N; Mondragón, Fanor; ",A linear energy relationship between activation energy and absolute hardness: a case study with the O (3P) atom-addition reactions to polyaromatic hydrocarbons,The Journal of Physical Chemistry A,112,36,8205-8207,2008,ACS Publications
"Salamanca, Maurin; Velásquez, Mauricio; Mondragón, Fanor; Santamaría, Alexander; ",Variations of the soot precursors chemical composition induced by ethanol addition to fuel,Energy & Fuels,26,11,6602-6611,2012,ACS Publications
"Gallego, Jaime; Mondragon, Fanor; Batiot-Dupeyrat, Catherine; ",Simultaneous production of hydrogen and carbon nanostructured materials from ethanol over LaNiO 3 and LaFeO 3 perovskites as catalyst precursors,Applied Catalysis A: General,450,,73-79,2013,Elsevier
"Florez, Elizabeth; Mondragon, Fanor; Illas, Francesc; ","Theoretical study of the structure and reactivity descriptors of Cu n M (M Ni, Pd, Pt; n= 1–4) bimetallic nanoparticles supported on MgO (001)",Surface Science,606,13,1010-1018,2012,Elsevier
"Mondragon, Fanor; Itoh, Hironori; Ouchi, Koji; ",Coal liquefaction by in-situ hydrogen generation.: 1. Zinc-water-coal reaction,Fuel,63,7,968-972,1984,Elsevier
"Osorio, Edison; Vasquez, Alejandro; Florez, Elizabeth; Mondragon, Fanor; Donald, Kelling J; Tiznado, William; ",Theoretical design of stable small aluminium–magnesium binary clusters,Physical Chemistry Chemical Physics,15,6,2222-2229,2013,Royal Society of Chemistry
"Mejía, Sol M; Espinal, Juan F; Mondragón, Fanor; ","ESTUDIO DELAZEOTROPO ETANOLAGUA. CARACTERIZACIÓN MOLECULAR DE DÍMEROS DE ETANOL, HETERODÍMEROSYHETEROTRÍMEROS DE ETANOLAGUA",Energética,,36,5-18,2006,
"Sierra Gallego, Germán; Batiot-Dupeyrat, Catherine; Barrault, Joël; Mondragón, Fanor; ",Producción de hidrógeno y nanotubos de carbono por escomposición de metano sobre Ni°/La2O3 obtenido a partir de la perovskita LaNiO3-δ,Revista Facultad de Ingeniería Universidad de Antioquia,,44,07-19,2008,
"Florez, Elizabeth; Mondragón, Fanor; Fuentealba, Patricio; Illas, Francesc; ",Effect of surface site on the spin state of first-row transition metals adsorbed on MgO: Embedded cluster model and hybrid density functional theory calculations,Physical Review B,78,7,075426,2008,APS
"Gallego, Jaime; Batiot-Dupeyat, Catherine; Mondragón, Fanor; ",Activation energies and structural changes in carbon nanotubes during different acid treatments,Journal of thermal analysis and calorimetry,114,2,597-602,2013,Springer
