Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Parra, Juan Luis; Agudelo, Marta; Molina, Yaily; Londoño, Gustavo; ",© The Neotropical Ornithological Society USE OF SPACE BY A PAIR OF SALVIN’S CURASSOWS (MITU SALVINI) IN NORTHWESTERN COLOMBIAN AMAZON,,,,,,Citeseer
"Garizábal, Jaime A; Delgado, Carlos A; Arias-Alzate, Andrés; Botero-Cañola, Sebastián; Sánchez-Londoño, Juan D; Tabárez, Lucía M; Lizarazo, Pilar X; Parra, Juan L; ","Nuevos registros de la Paloma-perdiz Lineada (Geotrygon linearis) en el Valle de Aburrá, Antioquia, Colombia.",Boletin SAO,23,,,2014,
"Bran-Castrillón, Carlos; Gaviria-Zapata, Catalina; Parra, Juan Luis; ","Avifauna de los hábitats de la desembocadura del Río Atrato (Turbo, Antioquia).",Ornitología Colombiana,14,,94-111,2014,
"Sanders, Christopher J Schneider; VanDerWal, Jeremy; Zamudio, Kelly R; Graham, Catherine H; Bowie, Rauri CK; Carnaval, Ana C; Moritz, Craig; Rahbek, Carsten; Roberts, Trina E; Cadena, Nathan J Carlos Daniel; ","Latitude, elevational climatic zonation and speciation in New",,,,,,
"Schluter, Dolph; Rescan, Marie; Lenormand, Thomas; Roze, Denis; Zink, Andrew G; Lyon, Bruce E; van Velzen, Ellen; Pérez-Vila, Saleta; Etienne, Rampal S; Bonnet, Timothée; ",3. 2015 American Society of Naturalists Awards 2015 American Society of Naturalists Awards (pp. iii-iv) Free Content,The American Naturalist,187,1,,2016,JSTOR
"Acero, Arturo; Aguilar-Cano, José; Valencia-Mazo, Juan David; Barbella, Rodrigo; Portocarrero-Aya, Marcela; Hernández, Olga Lucía; Vargas, Andrés; Acosta, Andrés Rymel; Mantilla-Meluk, Hugo; Medina, Sandra; ",Volumen III. Catálogo de biodiversidad de la región Caribe,,,,,2016,
"Fuchs, Jerome; Lemoine, Delphine; Parra, Juan Luis; Pons, Jean‐Marc; Raherilalao, Marie Jeanne; Prys‐Jones, Robert; Thebaud, Christophe; Warren, Ben H; Goodman, Steven M; ",Long‐distance dispersal and inter‐island colonization across the western Malagasy Region explain diversification in brush‐warblers (Passeriformes: Nesillas),Biological Journal of the Linnean Society,,,,2016,Wiley Online Library
"Lemere, Cynthia A; Lopera, Francisco; Kosik, KS; Lendon, CL; Ossa, J; Saido, TC; Yamaguchi, H; Ruiz, A; Martinez, A; Madrigal, L; ",The E280A presenilin 1 Alzheimer mutationproduces increased A342 deposition and severe cerebellar pathology,Nat. Med,2,,1146-1150,1996,
"Lopera, Francisco; Ardilla, Alfredo; Martínez, Alonso; Madrigal, Lucia; Arango-Viana, Juan Carlos; Lemere, Cynthia A; Arango-Lasprilla, Juan Carlos; Hincapié, Liliana; Arcos-Burgos, Mauricio; Ossa, Jorge E; ",Clinical features of early-onset Alzheimer disease in a large kindred with an E280A presenilin-1 mutation,Jama,277,10,793-799,1997,American Medical Association
"Arcos-Burgos, Mauricio; Castellanos, F Xavier; Pineda, David; Lopera, Francisco; Palacio, Juan David; Palacio, Luis Guillermo; Rapoport, Judith L; Berg, Kate; Bailey-Wilson, Joan E; Muenke, Maximilian; ","Attention-deficit/hyperactivity disorder in a population isolate: linkage to loci at 4q13. 2, 5q33. 3, 11q22, and 17p11",The American Journal of Human Genetics,75,6,998-1014,2004,Elsevier
"Kremeyer, Barbara; Lopera, Francisco; Cox, James J; Momin, Aliakmal; Rugiero, Francois; Marsh, Steve; Woods, C Geoffrey; Jones, Nicholas G; Paterson, Kathryn J; Fricker, Florence R; ",A gain-of-function mutation in TRPA1 causes familial episodic pain syndrome,Neuron,66,5,671-680,2010,Elsevier
"Reiman, Eric M; Quiroz, Yakeel T; Fleisher, Adam S; Chen, Kewei; Velez-Pardo, Carlos; Jimenez-Del-Rio, Marlene; Fagan, Anne M; Shah, Aarti R; Alvarez, Sergio; Arbelaez, Andrés; ",Brain imaging and fluid biomarker analysis in young adults at genetic risk for autosomal dominant Alzheimer's disease in the presenilin 1 E280A kindred: a case-control study,The Lancet Neurology,11,12,1048-1056,2012,Elsevier
"Clark, RF; Hutton, M; Fuldner, M; Froelich, S; Karran, E; Talbot, C; Crook, R; Lendon, C; Prihar, G; He, C; ",The structure of the presenilin 1 (S182) gene and identification of six novel mutations in early onset AD families,Nature genetics,11,2,219-222,1995,Nature Publishing Group
"Reiman, Eric M; Langbaum, Jessica; Fleisher, Adam S; Caselli, Richard J; Chen, Kewei; Ayutyanont, Napatkamon; Quiroz, Yakeel T; Kosik, Kenneth S; Lopera, Francisco; Tariot, Pierre N; ",Alzheimer's Prevention Initiative: a plan to accelerate the evaluation of presymptomatic treatments,Journal of Alzheimer's Disease,26,s3,321-329,2011,IOS Press
"Zhou, Kaixin; Dempfle, Astrid; Arcos‐Burgos, Mauricio; Bakker, Steven C; Banaschewski, Tobias; Biederman, Joseph; Buitelaar, Jan; Castellanos, F Xavier; Doyle, Alysa; Ebstein, Richard P; ",Meta‐analysis of genome‐wide linkage scans of attention deficit hyperactivity disorder,American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,147,8,1392-1398,2008,Wiley Online Library
"Arcos-Burgos, M; Jain, M; Acosta, MT; Shively, S; Stanescu, H; Wallis, D; Domene, S; Vélez, Jorge I; Karkera, JD; Balog, J; ","A common variant of the latrophilin 3 gene, LPHN3, confers susceptibility to ADHD and predicts effectiveness of stimulant medication",Molecular psychiatry,15,11,1053-1066,2010,Nature Publishing Group
"Pineda, David A; Lopera, Francisco; Palacio, Juan D; Ramirez, Dora; Henao, Gloria C; ",Prevalence estimations of attention-deficit/hyperactivity disorder: differential diagnoses and comorbidities in a Colombian sample,International Journal of Neuroscience,113,1,49-71,2003,Taylor & Francis
"Pastor, Pau; Roe, Catherine M; Villegas, Andrés; Bedoya, Gabriel; Chakraverty, Sumi; Garcia, Gloria; Tirado, Victoria; Norton, Joanne; Ríos, Silvia; Martínez, Maribel; ",Apolipoprotein Eε4 modifies Alzheimer's disease onset in an E280A PS1 kindred,Annals of neurology,54,2,163-169,2003,Wiley Online Library
"Fleisher, Adam S; Chen, Kewei; Quiroz, Yakeel T; Jakimovich, Laura J; Gomez, Madelyn Gutierrez; Langois, Carolyn M; Langbaum, Jessica BS; Ayutyanont, Napatkamon; Roontiva, Auttawut; Thiyyagura, Pradeep; ",Florbetapir PET analysis of amyloid-β deposition in the presenilin 1 E280A autosomal dominant Alzheimer's disease kindred: a cross-sectional study,The Lancet Neurology,11,12,1057-1065,2012,Elsevier
"Pineda, DA; Lopera, F; Henao, GC; Palacio, JD; Castellanos, FX; Fundema, GDI; ",Confirmación de la alta prevalencia del trastorno por déficit de atención en una comunidad colombiana,Revista de neurología,32,3,217-222,2001,
"Parra, Mario A; Abrahams, Sharon; Logie, Robert H; Méndez, Luis G; Lopera, Francisco; Della Sala, Sergio; ",Visual short-term memory binding deficits in familial Alzheimer’s disease,Brain,133,9,2702-2713,2010,Oxford Univ Press
"Gómez-Isla, Teresa; Growdon, Whitfield B; McNamara, Megan J; Nochlin, David; Bird, Thomas D; Arango, Juan Carlos; Lopera, Francisco; Kosik, Kenneth S; Lantos, Peter L; Cairns, Nigel J; ","The impact of different presenilin 1 andpresenilin 2 mutations on amyloid deposition, neurofibrillary changes and neuronal loss in the familial Alzheimer's disease brain",Brain,122,9,1709-1719,1999,Oxford Univ Press
"Acosta-Baena, Natalia; Sepulveda-Falla, Diego; Lopera-Gómez, Carlos Mario; Jaramillo-Elorza, Mario César; Moreno, Sonia; Aguirre-Acevedo, Daniel Camilo; Saldarriaga, Amanda; Lopera, Francisco; ",Pre-dementia clinical stages in presenilin 1 E280A familial early-onset Alzheimer's disease: a retrospective cohort study,The Lancet Neurology,10,3,213-220,2011,Elsevier
"Sierra, M; Lopera, F; Lambert, MV; Phillips, ML; David, AS; ",Separating depersonalisation and derealisation: the relevance of the “lesion method”,"Journal of Neurology, Neurosurgery & Psychiatry",72,4,530-532,2002,BMJ Publishing Group Ltd
"Johnson, KA; Lopera, F; Jones, K; Becker, A; Sperling, R; Hilson, J; Londono, J; Siegert, I; Arcos, M; Moreno, S; ",Presenilin-1–associated abnormalities in regional cerebral perfusion,Neurology,56,11,1545-1551,2001,AAN Enterprises
